"cas","isomer_id","target","melt","logk","nconf"
"90-15-3","90-15-3",4.02,0.957,2.850,2
"103-90-2","103-90-2",4.97,1.690,0.460,6
"59-66-5","59-66-5",3.62,2.580,-0.260,4
"13655-52-2","13655-52-2",3.34,1.080,3.100,7
"13655-52-2","13655-52-2_reflect",3.34,1.080,3.100,28
"768-94-5","768-94-5",4.10,1.960,2.440,1
"50-48-6","50-48-6",1.36,1.960,4.920,17
"86-42-0","86-42-0",0.13,2.080,3.700,32
"51-55-8","51-55-8",4.00,1.140,1.830,3
"51-55-8","51-55-8_reflect",4.00,1.140,1.830,3
"446-86-6","446-86-6_7H",2.79,2.440,0.100,2
"446-86-6","446-86-6_9H",2.79,2.440,0.100,4
"4238-71-5","4238-71-5",3.74,0.705,1.600,2
"38396-39-3","38396-39-3_R",2.92,1.070,3.410,12
"38396-39-3","38396-39-3_L",2.92,1.070,3.410,12
"53716-49-7","53716-49-7_S",1.30,1.940,3.800,2
"53716-49-7","53716-49-7_R",1.30,1.940,3.800,2
"72956-09-3","72956-09-3_R",0.62,1.140,4.190,7
"72956-09-3","72956-09-3_S",0.62,1.140,4.190,8
"153-61-7","153-61-7",2.83,1.600,-0.410,10
"153-61-7","153-61-7_reflect",2.83,1.600,-0.410,11
"25523-97-1","25523-97-1",3.40,1.320,3.380,8
"25523-97-1","25523-97-1_R",3.40,1.320,3.380,7
"50-53-3","50-53-3",0.54,0.570,5.410,14
"94-20-2","94-20-2",2.79,1.280,2.270,19
"113-59-7","113-59-7",-0.31,0.975,5.180,20
"95-25-0","95-25-0",3.36,1.910,1.600,1
"51481-61-9","51481-61-9_N1HN4syn",4.48,1.420,0.400,7
"51481-61-9","51481-61-9_N3HN4syn",4.48,1.420,0.400,2
"51481-61-9","51481-61-9_N1HN4anti",4.48,1.420,0.400,4
"51481-61-9","51481-61-9_N3HN4anti",4.48,1.420,0.400,3
"51481-61-9","51481-61-9_N1HN5syn",4.48,1.420,0.400,5
"51481-61-9","51481-61-9_N3HN5syn",4.48,1.420,0.400,8
"51481-61-9","51481-61-9_N1HN5anti",4.48,1.420,0.400,11
"51481-61-9","51481-61-9_N3HN5anti",4.48,1.420,0.400,9
"85721-33-1","85721-33-1",2.43,2.590,0.280,8
"85721-33-1","85721-33-1_ZW",2.43,2.590,0.280,8
"112398-08-0","112398-08-0",3.10,3.380,0.823,4
"112398-08-0","112398-08-0_ZW",3.10,3.380,0.823,8
"14611-51-9","14611-51-9",3.49,1.420,2.900,22
"14611-51-9","14611-51-9_reflect",3.49,1.420,2.900,20
"50-47-5","50-47-5",2.17,0.250,4.900,33
"364-98-7","364-98-7",2.57,3.290,1.200,1
"15307-86-5","15307-86-5",0.60,1.570,4.510,2
"98106-17-3","98106-17-3",2.17,2.320,0.890,8
"98106-17-3","98106-17-3_ZW",2.17,2.320,0.890,16
"42399-41-7","42399-41-7",2.95,2.200,2.700,7
"42399-41-7","42399-41-7_reflect",2.95,2.200,2.700,10
"58-73-1","58-73-1",2.79,1.680,3.270,29
"57-41-0","57-41-0",1.93,2.950,2.370,2
"93106-60-6","93106-60-6",2.84,2.200,0.570,6
"93106-60-6","93106-60-6_ZW",2.84,2.200,0.570,12
"76824-35-6","76824-35-6",3.33,1.635,-0.640,14
"29679-58-1","29679-58-1_S",2.19,1.695,3.100,8
"29679-58-1","29679-58-1_R",2.19,1.695,3.100,8
"530-78-9","530-78-9",0.72,1.300,5.250,4
"42835-25-6","42835-25-6_S",2.20,2.540,1.600,4
"42835-25-6","42835-25-6_R",2.20,2.540,1.600,4
"5104-49-4","5104-49-4_R",1.95,1.120,4.160,4
"5104-49-4","5104-49-4_S",1.95,1.120,4.160,4
"29094-61-9","29094-61-9",0.49,2.080,1.910,7
"73-40-5","73-40-5_keto7NH",1.80,3.600,-0.910,2
"73-40-5","73-40-5_keto9NH",1.80,3.600,-0.910,2
"73-40-5","73-40-5_enol7NH",1.80,3.600,-0.910,2
"73-40-5","73-40-5_enol9NH",1.80,3.600,-0.910,2
"56-29-1","56-29-1_R",3.23,1.470,1.980,3
"56-29-1","56-29-1_S",3.23,1.470,1.980,3
"135-09-1","135-09-1",2.94,2.710,0.360,4
"99-96-7","99-96-7",4.61,2.150,1.580,2
"15687-27-1","15687-27-1_R",2.03,0.739,3.740,6
"15687-27-1","15687-27-1_S",2.03,0.739,3.740,6
"98079-51-7","98079-51-7_R",3.67,2.400,-0.300,10
"98079-51-7","98079-51-7_RZW",3.67,2.400,-0.300,8
"98079-51-7","98079-51-7_S",3.67,2.400,-0.300,14
"98079-51-7","98079-51-7_SZW",3.67,2.400,-0.300,10
"10262-69-8","10262-69-8",1.25,0.927,5.100,17
"61-68-7","61-68-7",-0.54,2.300,5.120,4
"364-62-5","364-62-5",2.62,1.470,2.620,16
"443-48-1","443-48-1",4.75,1.600,0.020,4
"22916-47-8","22916-47-8_S",0.62,1.230,6.100,11
"22916-47-8","22916-47-8_R",0.62,1.230,6.100,8
"389-08-2","389-08-2",2.26,2.290,1.590,2
"465-65-6","465-65-6",3.10,2.030,2.090,3
"465-65-6","465-65-6_reflect",3.10,2.030,2.090,4
"22204-53-1","22204-53-1",1.59,1.540,3.180,4
"22204-53-1","22204-53-1_reflect",1.59,1.540,3.180,4
"4394-00-7","4394-00-7",1.89,2.040,4.430,4
"67-20-9","67-20-9",2.71,2.630,-0.470,4
"70458-96-7","70458-96-7",3.12,2.250,-1.030,8
"70458-96-7","70458-96-7_ZW",3.12,2.250,-1.030,4
"72-69-5","72-69-5",2.07,2.140,4.510,20
"82419-36-1","82419-36-1_S",4.64,2.440,-0.390,8
"82419-36-1","82419-36-1_R",4.64,2.440,-0.390,8
"82419-36-1","82419-36-1_SZW",4.64,2.440,-0.390,5
"82419-36-1","82419-36-1_RZW",4.64,2.440,-0.390,5
"79-57-2","79-57-2_enol",2.77,1.840,-0.900,1
"79-57-2","79-57-2_keto",2.77,1.840,-0.900,1
"79-57-2","79-57-2_epienol",2.77,1.840,-0.900,1
"79-57-2","79-57-2_epiketo",2.77,1.840,-0.900,3
"79-57-2","79-57-2_enolreflect",2.77,1.840,-0.900,1
"79-57-2","79-57-2_ketoreflect",2.77,1.840,-0.900,3
"79-57-2","79-57-2_epienolreflect",2.77,1.840,-0.900,1
"79-57-2","79-57-2_epiketoreflect",2.77,1.840,-0.900,3
"79-57-2","79-57-2_enolZW",2.77,1.840,-0.900,1
"79-57-2","79-57-2_ketoZW",2.77,1.840,-0.900,1
"79-57-2","79-57-2_epienolZW",2.77,1.840,-0.900,1
"79-57-2","79-57-2_epiketoZW",2.77,1.840,-0.900,1
"79-57-2","79-57-2_enolreflectZW",2.77,1.840,-0.900,1
"79-57-2","79-57-2_ketoreflectZW",2.77,1.840,-0.900,1
"79-57-2","79-57-2_epienolreflectZW",2.77,1.840,-0.900,1
"79-57-2","79-57-2_epiketoreflectZW",2.77,1.840,-0.900,1
"58-74-2","58-74-2",1.79,1.470,2.950,6
"66-71-7","66-71-7",4.38,1.150,1.780,1
"94-78-0","94-78-0",1.98,1.390,2.690,4
"50-06-6","50-06-6",3.70,1.750,1.470,6
"50-06-6","50-06-6_enol",3.70,1.750,1.470,2
